sentiment,text,user
"positive","RT @patrickedunne: One way of combating this issue is for more maths and data science scholarships for girls and women. For Africa @ESSA_Af…","Ruth999"
"neutral","Here's How Google Trains World-Class Managers (Using A Bit of Data Science Helps) https://t.co/F6qsaN987P","AlphaGirlZone"
"neutral","Convolutional Neural Networks In Python: Master Data Science And Machine Le  https://t.co/H0zrHK4dv3 #machine #learning #python #pythonbot_","pythonbot_"
"neutral","RT @JBiomech: Recommendation for the minimum number of steps to analyze when performing the uncontrolled manifold analysis on walking data…","A_S_B_M_B"
"positive","RT @jamesrbuk: Brilliant Decca Aitkenhead profile of @CCriadoPerez ahead of her book on how science and research is erasing women – and by…","lizhon70"
"positive","RT @chi2innovations: New #Book: Automated #DataScience and #ArtificialGeneralIntelligence https://t.co/YTR5cmId2R\nvia @datasciencecntrl #ab…","eelrekab"
"neutral","RT @IBMDataScience: Q: What’s the business impact of deploying IBM SPSS Modeler for data science and machine learning projects?\nA: Some pre…","ArkangelScrap"
"positive","RT @NileshOak: Impeccable evidence based on 1000+ empirical data points from 12+ disciplines of hard science.\n\nExpect silence, digressive t…","Mayank_Mishra12"
"neutral","Data science, et si l'innovation passait par la compétition en interne ? : https://t.co/PiNPzGRMkv v/ @LesEchos… https://t.co/3ZpEdbBGMs","EMB_Europe"
"positive","We're excited to announce the launch of our #AppliedIntelligence Platform, designed to help clients use AI without… https://t.co/3XF6EbPXEa","AccentureGR"
"neutral","#DataScience Approach to Reducing #Employee #Attrition https://t.co/91w1Bz0OWO","CustmrCom"
"positive","RT @KirkDBorne: New #DataScience 10-page (PDF) Cheat Sheet covers basic concepts in probability, #statistics, statistical learning, #Machin…","nyike"
"neutral","Q: What’s the business impact of deploying IBM SPSS Modeler for data science and machine learning projects?\nA: Some… https://t.co/n9NQseUpbj","IBMDataScience"
"neutral","Q: What’s the business impact of deploying IBM SPSS Modeler for data science and machine learning projects?\nA: Some… https://t.co/7YKO0RjiGB","IBMBizAnalytics"
"positive","RT @NileshOak: Impeccable evidence based on 1000+ empirical data points from 12+ disciplines of hard science.\n\nExpect silence, digressive t…","def0S"
"neutral","@MLBinWA @SteveSGoddard @SylviaD32911201 @PolAnimalAus @GAWHeckman @flyonthewall182 @sueytonius @jk76022… https://t.co/ijO9CDk8SJ","david_hanselman"
"neutral","RT @SungrazerComets: BTW, please note that any movie/data/science I tweet is 100% public domain, without exception. I never post data that…","hightide2038"
"positive","RT @NileshOak: Impeccable evidence based on 1000+ empirical data points from 12+ disciplines of hard science.\n\nExpect silence, digressive t…","NileshOak"
"neutral","Radical Change Is Coming To Data Science Jobs\n\nvia @ansonmccade https://t.co/VeKYUQETpx #technology #TechNews… https://t.co/0lXQv1M5vD","AnsonMcCade"
"positive","RT @BStarzomski: A demonstration of the power of citizen science and @inaturalist in particular. Mobilizing a huge group of eyes to observe…","RitzenResearch"
"neutral","Data Science is just: cats nu ices jade its.","datasciencejust"
"neutral","@EngagingThe (1/3) Hynek, letter published in SCIENCE magazine, Oct. 21,1966: \"I cannot dismiss the UFO phenomenon… https://t.co/WfwY1esc2V","ddeanjohnson"
"neutral","RT @AI_devr: Data Science: Practical Deep Learning in Theano + TensorFlow\n\n☞ https://t.co/fFT5tK1XJL\n\n#DeepLearning #TensorFlow https://t.c…","pswider"
"positive","RT @RPuettner: Data Science is not a single discipline, but a craft at the intersection of many - Deconstructing Data Science. Link &gt;&gt; http…","ArkangelScrap"
"neutral","Data Science: Practical Deep Learning in Theano + TensorFlow\n\n☞ https://t.co/lYmRnIN8ma\n\n#DeepLearning #TensorFlow https://t.co/pk2kIyRdaG","AiGame_dev"
"neutral","RT @AI_devr: Data Science: Practical Deep Learning in Theano + TensorFlow\n\n☞ https://t.co/fFT5tK1XJL\n\n#DeepLearning #TensorFlow https://t.c…","GamerGeekNews"
"neutral","Data Science: Practical Deep Learning in Theano + TensorFlow\n\n☞ https://t.co/fFT5tK1XJL\n\n#DeepLearning #TensorFlow https://t.co/byDJqW8yOj","AI_devr"
"neutral","From Deep Learning To Data Science https://t.co/ZVVJc2QAOS #DeepLearning #DataScience #learning https://t.co/Ib2xszpE3T","iulian_neagoe"
"positive","Data Science is not a single discipline, but a craft at the intersection of many - Deconstructing Data Science. Lin… https://t.co/UZbH6PhjzX","RPuettner"
"neutral","Data Science Platform Market Trends and Global Outlook, 2016-2024 - The “Data Science Platform Mar https://t.co/rn39GLV65W #data-science","into_AI"
"positive","NGC2070 the Tarantula in Hydrogen Alpha light. Only 1 hour of data so far but I think a few more and this could be… https://t.co/Lyl3t3A9kQ","shaunfletchernz"
"neutral","Data Science: Practical Deep Learning in Theano + TensorFlow\n\n☞ https://t.co/xieqEOpBJw\n\n#DeepLearning #TensorFlow https://t.co/ErGzeIZNIO","AiBlessing"
"neutral","Kakahanap ko ng experiment sa science naubos data ko bwiset🙄","maeegarcia"
"neutral","@AOC This is called \"ad hominem.\" @nypost attacks AOC instead of addressing the actual issue: climate change scien… https://t.co/rxriDkQul6","JAWeingarten"
"positive","RT @datagulf1: Effective Data Science Presentations https://t.co/sb3NGuATzH @datamovesher #datascience #commiunication #skills #webinar","Pardoe_AI"
"positive","RT @shlywshngtn: I posted on LinkedIn looking for a data science mentor and never heard from anyone. Can anyone think of a better resource…","ioctaptceb"
"positive","RT @mdr: My colleague Christof Monz @c_monz is looking for a PhD student to work on NLP for Responsible Data Science in his team. This is a…","Bartvoorn"
"positive","RT @schradie: Platforms matter, find @eszter @tofu89 @mss7676,, in how \"Young Adults Engage With Science and Research on Social Media\" So i…","ShuhanChen5"
"neutral","RT @monipose: @ingritakta1 @MakeloMoreno @marisa_dorado98 @Mario_Cambiemos Vamos!! Si se puede! La edad es un numero en un papel. No hay qu…","albypgls"
"neutral","RT @alosefer: صباح الخير من عمان الخير🇴🇲❤️\n#نصيحة حاول بكل صباح قراءة أي مقالة جديدة. العالم يتغير بسرعة تقنياً والإطلاع اليومي مهم، أهم ال…","Abdullahateeq"
"neutral","@Thought4rce @Captbobdad @afrommi @Mark_A_Lunn @Climatearticles @MrGQ37 @Chino780 @brandondaly2018 @RiffSkjerven… https://t.co/xGUiX4Z5Gr","DawnTJ90"
"positive","Damage to harvests has been particularly severe around the UK in the North and Irish seas, the data shows, where th… https://t.co/PT4IoPYdXy","Science_Hooker"
"positive","Unbreaking America: A NEW Short Film about Solving the Corruption Crisis https://t.co/FJQmI3wfjU via @YouTube\n\nComb… https://t.co/lqr28s3MYL","_DrMG_"
"positive","RT @BIOINTERACTIVE: Celebrate #WorldWildlifeDay with our free BiomeViewer app! This app incorporates data from the @IUCNRedList of endanger…","MrsO_Science"
"neutral","Flatlogic Dashboards – Dashboards, Web Apps and Admin Interfaces for Data Science, Management and Visualizations… https://t.co/OEGOiaDjj1","newscloud_io"
"neutral","RT @andres_oliva: Women in Data Science, WIDS y Desafío App invitan a chicas de 15 a 18 años a Jugar con Big Data. \n\nLa fecha es el 12 de m…","BigattiJulian"
"neutral","#JobOpening:\n#Franklin_County_Technical_School \n#ANIMAL/VETERINARY_SCIENCE_INSTRUCTOR \n#Turners Falls #MA… https://t.co/NVIZYO2Wrv","TJN_Jobs"
"positive","RT @KirkDBorne: New #DataScience 10-page (PDF) Cheat Sheet covers basic concepts in probability, #statistics, statistical learning, #Machin…","WideNews24X7"
"neutral","Flatlogic Dashboards – Dashboards, Web Apps and Admin Interfaces for Data Science, Management and Visualizations https://t.co/iMY0SnibeD","StartupPosts"
"negative","RT @nigewillson: The #CitizenDataScientist ! \nAccenture Launches Applied Intelligence Platform to Help Clients Use        Artificial Intell…","SmythEkin"
"neutral","97,000 analytics and data science positions vacant in India: Study https://t.co/Hjn3oGp8LM","ShriPatel014"
"negative","Is SQL Really A Game Changer For Data Science Careers? https://t.co/81E76wBD6p","hsianghui"
"positive","RT @andi_staub: #WeekendRead\n\nWho Will Own the Data That is YOU?\n\n#economics #AI #BigData #fintech #policymaking #Science @psb_dc @jblefevr…","Procurement2030"
"positive","RT @triadsou: Empirical Bayes matrix completion. Matsuda, Komaki. Computational Statistics &amp; Data Analysis. https://t.co/pKcK5QQM1M","dizzy_my_future"
"positive","RT @jamesrbuk: Brilliant Decca Aitkenhead profile of @CCriadoPerez ahead of her book on how science and research is erasing women – and by…","Zehra_Zaidi"
"neutral","RT @AlexTWebb: “Everyone in this room probably exists in our server. We have a copy of your brain and know what notifications and systems y…","BillNigh"
"neutral","RT @alosefer: صباح الخير من عمان الخير🇴🇲❤️\n#نصيحة حاول بكل صباح قراءة أي مقالة جديدة. العالم يتغير بسرعة تقنياً والإطلاع اليومي مهم، أهم ال…","RenadAljarbou"
"neutral","RT @alosefer: صباح الخير من عمان الخير🇴🇲❤️\n#نصيحة حاول بكل صباح قراءة أي مقالة جديدة. العالم يتغير بسرعة تقنياً والإطلاع اليومي مهم، أهم ال…","meshal1401MU"
"positive","RT @Stanford: We'll be live streaming @WiDS_Conference beginning at 9 a.m. PT on March 4. Ready for data science now? Tune in to the #Women…","Martinacuna1965"
"neutral","Rendezvous Architecture for Data Science in Production https://t.co/Hq8fMkgj4m","gkarapalidis"
"neutral","After months of research I’ve scientifically determined the racial hiearchy of the human research. The data indicat… https://t.co/f8N8hp6GUl","JimmyWoulms"
"neutral","Episode 28: Jennifer Roberts - Data Science Superhero 3 Geeks and a Law Blog https://t.co/t9RjWEQ0AR","stacyhailey"
"positive","RT @Ronald_vanLoon: 80+ Free #DataScience Books\n by @DataScienceCtrl | \n\nhttps://t.co/hp1pE7EYbr \n\n#Data #AI #ArtificialIntelligence #Analy…","rRogick"
"neutral","Rendezvous Architecture for Data Science in Production https://t.co/DajjEonhN2 https://t.co/j1eagLjgxn","webAnalyste"
"neutral","Data science is different now\n\nhttps://t.co/p0oB7E4Tu6","ArtofWarm"
"positive","RT @howardtayler: It may come as a surprise to some of you to learn that I'm very conservative. But I'm not a *political* conservative. \n\nI…","Art_No_Rules"
"positive","RT @gp_pulipaka: 18 Free Online Books to Learn R and Data Science. #BigData #Analytics #DataScience #AI #MachineLearning #IoT #IIoT #PyTorc…","KalixOrtega"
"neutral","Marketing #Science #Expert (Singapore based, Japanese speaking) needed in #TokyoJapan at #FacebookCareers. Apply no… https://t.co/9BA5nveaFg","jaychakrabort18"
"positive","RT @PRandP_Journal: The decision of whether or not to publish #nullresults is controversial, but it shouldn’t be. Publishing null findings…","BritPharmSoc"
"positive","FEATURED #COURSES:\n\nComplete Data Science Bootcamp\nBest Selling Course:33538 students enrolled\nComplete Data Scienc… https://t.co/FdIEsUMTqy","byLilyV"
"positive","RT @KirkDBorne: New #DataScience 10-page (PDF) Cheat Sheet covers basic concepts in probability, #statistics, statistical learning, #Machin…","hacanoca"
"positive","RT @NileshOak: Impeccable evidence based on 1000+ empirical data points from 12+ disciplines of hard science.\n\nExpect silence, digressive t…","Ice44880593"
"neutral","@bitxt pasti ngambil data science huhuhu","elusivebook"
"positive","RT @byLilyV: FEATURED #COURSES:\n\nData Science Training with #Python for Data Analysis Editor's Choice\nComplete Guide to Practical Data Scie…","colourspeak"
"neutral","I am starting to prepare my talk for the 2019 Presidential Invited Address  @ENAR_ibs, @harvard_data  and I came ac… https://t.co/SRYg8yFsuA","francescadomin8"
"positive","The day AI outsmarts all the peer mammal DNA men woman &amp; children of earth, old spy data of my writing reference. I… https://t.co/Q82H2d97Ux","TimDYoungBSMPA5"
"negative","Data and Mental Health : The OSMI Survey — Part 2 #mentalhealth https://t.co/VSB7d7TBc6 https://t.co/47Jfz8EsuW","OSMIhelp"
"positive","Effective Data Science Presentations https://t.co/sb3NGuATzH @datamovesher #datascience #commiunication #skills #webinar","datagulf1"
"positive","RT @cogniata1: Gartner Magic Quadrant for Data Science and Machine Learning Platforms - 2019 #KNIME #RapidMiner #TIBCO #SAS https://t.co/ms…","PuglielliG"
"positive","#NASA’s Juno mission to the gas giant #Jupiter has provided data that could rewrite much of planetary science - The… https://t.co/7oPatHQI3a","Faaz71"
"neutral","RT @cogniata1: Priority Matrix for Data Science and Machine Learning 2018 #Gartner #DataScience #MachineLearning https://t.co/9koTrmkHvO","PuglielliG"
"positive","FEATURED #COURSES:\n\nData Science Training with #Python for Data Analysis Editor's Choice\nComplete Guide to Practica… https://t.co/nr4PuBsxpq","byLilyV"
"neutral","RT @SamueL_WonG_: Why Data Visualization Is Equal Parts Data Art And Data Science https://t.co/RiIND7JiRt","bilscanlon"
"positive","RT @KirkDBorne: New #DataScience 10-page (PDF) Cheat Sheet covers basic concepts in probability, #statistics, statistical learning, #Machin…","Darth_Vader005"
